A,B,C,D,E,F
13,166.55,16,-12.9,-29.0886,-52.4772
11,148.53,21,-2.82,-58.707,-38.1247
24,265.01,34,23.27,58.9215,15.788
38,391.52,35,25.55,89.0114,18.9199
19,220.09,9,-26.71,66.4145,57.7332
16,193.5,36,27.29,73.7802,46.1029
8,121.27,5,-34.82,-45.432,-18.3557
39,400.04,23,1.02,29.8722,49.7157
25,274.33,39,33.37,-36.1331,-40.1298
9,130.22,7,-30.64,25.1147,14.5
25,274.22,21,-2.81,-1.36197,-2.67302
11,148.54,30,15.13,55.3602,82.0747
3,76.35,28,11.43,19.9756,39.2043
2,67.18,6,-32.89,59.0991,44.5343
9,130.4,29,13.53,-26.3315,-51.6784
3,76.17,15,-14.47,-39.5559,-42.4185
24,265.22,10,-24.77,-35.6283,-15.8627
7,112.33,39,33.05,32.15,88.3311
38,391.05,17,-10.78,78.8235,22.6022
17,202.48,6,-32.84,27.2882,95.1649
29,310.32,29,13.22,24.4283,19.0855
37,382.25,28,11.36,13.9233,1.4634
0,49.31,9,-27.03,22.7505,25.2669
7,112.29,23,1.21,-2.80074,-1.0751
7,112.04,29,13.23,-32.6829,-9.37166
15,184.24,16,-12.87,31.0495,7.74149
11,148.19,7,-30.44,50.1125,17.2551
32,337.51,28,11.38,5.34604,2.72394
36,373.1,14,-16.84,-80.1906,-40.8591
17,202.26,11,-22.84,20.6729,72.0946
20,228.99,36,27.45,-2.75638,-9.61261
7,111.98,3,-38.88,-3.87848,-6.99695
9,130.21,22,-0.94,-16.8211,-15.686
31,328.5,2,-40.78,-89.8243,-30.929
29,309.99,13,-18.51,-15.8628,-35.6283
21,238.3,35,25.35,-29.4337,-25.5863
19,220.06,19,-6.61,-15.3009,-4.67794
10,139.42,28,11.3,45.5722,82.2142
1,58.14,11,-22.48,33.3753,6.4875
39,400.33,31,17.42,5.24848,6.03767
18,211.27,38,31.3,28.2137,38.8328
11,148.04,8,-28.72,21.1166,35.1438
15,184.48,1,-42.8,-64.4517,-40.2738
21,238.55,4,-36.98,-3.0686,-6.29156
33,346.22,7,-30.59,-62.9932,-75.0723
21,238.37,5,-34.84,-23.3827,-13.5
38,391.42,24,3.16,6.12836,5.1423
3,76.2,29,13.34,-81.4064,-47
24,264.97,23,1.26,-22.3168,-5.5642
0,49.47,34,23.04,-12.6668,-2.92436
34,355.05,8,-28.63,18.0665,20.0649
17,202.34,38,31.39,-11.6355,-20.9909
39,400.29,29,13.45,86.7189,20.0206
26,283.22,0,-44.94,57.8722,74.073
30,319.43,19,-6.87,42.0111,16.1265
4,85.17,14,-16.71,25.2164,19.7012
38,391.26,3,-38.87,36.6864,35.4276
15,184.2,23,1.13,50.3141,37.9143
16,193.26,18,-8.55,3.94206,10.2694
5,93.98,23,1.02,-68.2059,-15.7466
3,76.11,20,-4.53,88.2097,44.945
23,256.26,22,-0.97,-26.8116,-22.4976
18,211.09,28,10.98,-24.7577,-18.6563
6,103.54,13,-18.47,-48.4136,-80.5737
20,229.48,18,-8.68,4.81453,6.38908
4,85.09,34,23.33,-19.9172,-16.7125
9,130.34,14,-16.92,21.881,51.5483
36,373.43,16,-12.58,22.9154,62.9594
9,130.22,35,24.99,0.898794,0.438371
19,220.11,4,-36.66,46.6018,15.1418
37,382.42,17,-10.8,-57.6823,-6.06265
1,58.28,20,-4.56,8.42542,11.1809
31,328.47,14,-16.95,-12.2917,-4.23238
5,94.25,19,-6.83,-28.0649,-63.0346
1,58.47,35,25.43,-52.2872,-31.4173
31,328.05,2,-40.83,34.4215,62.098
3,76.41,7,-30.8,71.6056,7.52604
24,265.2,23,1.35,-27.4005,-40.6228
4,85.14,39,33.21,15.7946,24.3214
17,202.08,24,3.21,-33.8845,-26.4734
20,229.17,11,-22.49,-98.4808,-17.3648
10,139.4,19,-6.86,-1.05984,-1.6961
10,138.99,19,-6.49,-10.5498,-24.8536
17,202.14,31,17.25,-6.72883,-1.92946
31,328.47,12,-20.88,37.5116,38.8443
31,328.32,21,-2.89,-37.4892,-10.7498
9,130.09,16,-13.02,-86.5874,-47.9961
36,373.29,37,29.32,80.2769,56.2105
30,319.12,19,-6.82,-60.6769,-47.4059
14,175.03,23,1.23,-21.7959,-31.1278
39,400.22,17,-10.71,28.9449,94.6741
25,274.18,30,14.98,-40.9863,-20.8835
36,373.39,36,27.1,40.173,66.859
15,183.97,9,-26.69,-85.9289,-13.6098
27,292.25,31,17.08,-27,-46.7654
21,238.03,10,-24.85,-49.7261,-5.22642
28,301.53,2,-40.64,10.2309,13.5768
3,76.3,11,-22.84,37.2148,27.0381
33,345.98,21,-2.89,49.4437,82.288
18,211.52,14,-16.54,-51.4048,-53.2311
6,103.56,19,-6.87,6.47406,6.25192
10,139.47,25,5.29,-30.6983,-4.31436
13,166.01,16,-12.99,1.92836,2.29813
5,94.25,36,27.35,-50.728,-28.1189
4,85.29,0,-44.44,-72.1257,-46.8389
0,48.97,10,-24.84,61.8246,64.0212
0,49.16,1,-42.77,22.9125,2.00458
9,130.33,6,-32.46,11.7557,16.1803
12,157.54,29,13.18,74.5891,7.83963
17,202.37,36,27.34,10.6252,2.84701
28,301.08,30,15.35,-32.4332,-48.0842
29,310.39,10,-24.72,-28.6695,-74.6864
13,166.18,30,14.97,87.4118,46.4776
1,58.2,20,-4.72,22.0921,9.37754
14,175.39,0,-44.93,-23.4615,-17.0458
12,157.16,22,-0.68,-84.9558,-32.6115
6,103.56,10,-24.66,-77.5727,-8.15321
23,256.24,4,-36.5,58.4258,8.21121
28,301.18,39,33.46,78.9342,28.7297
29,310.07,9,-26.94,52.005,77.1005
20,229.02,12,-20.89,15.9727,12.0363
2,67.04,13,-18.71,35.2133,7.48481
35,364.56,14,-16.63,63.2121,10.0118
35,364.3,7,-30.57,5.24451,12.9806
22,247.2,13,-18.92,-47.1181,-9.15882
24,265.01,4,-36.66,-1.74924,-0.969618
19,220.09,3,-38.59,46.9723,69.6391
11,148.29,10,-24.66,-51.9223,-20.978
23,256.28,32,19.47,-39.7545,-71.7188
5,93.97,1,-42.64,-36.4379,-6.42498
17,202.45,29,12.98,-15.1601,-52.8694
